sitename,slope,aspect,elevation,canopy_typ,topo,moist,severity,ph,sol,treeden,treeba,seedlingde,site_descr,directions,site_histo,location,n_dd,w_dd,title,ecoregion,filename,f3,f4,f5,f6,f7,pic_url,age,burn_year,topo_po
GSM3,0,0,187,Black Spruce,0,SUBHYGRIC,NA,0,0,10954.55,3450,4.91,"This is a subhygric, black spruce site. The organic layer at this here is over 3.5m deep.","This site is off Ballaine Road. Park either in pullout 300m SE of Goldstream Creek bridge, or on shoulder just west of it. Site is accessed by foot from trail at Ballaine Road, 150m west of Goldstream Creek bridge. Walk 570m along trail. Site is 120m wes","This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"". Some mature sites in the RSN, including this one, were purposefully collocated with a site network originally established by Teresa Hollingsworth.",Goldstream,64.916152,-147.832248,GSM3 (TKN0040),Yukon-Tanana Uplands,GSM3_SitePano.jpg,Panoramic site photo of GSM3 (TKN0040).,9/14/2014,Shalane Frost,GSM3,TKN0040,http://ltergis.iab.uaf.edu/rsn/pano/GSM3_SitePano.jpg,Mature,Pre 1930,
GSM4,16,24,497,Black Spruce,0,SUBXERIC-MESIC,NA,0,0,13409.09,4108.33,9.85,"This is a subxeric-mesic, black spruce site.",Murphy Dome Road mile 12.5. Site is 420m NE of road.,"This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"". Some mature sites in the RSN, including this one, were purposefully collocated with a site network originally established by Teresa Hollingsworth.",Murphy Dome,64.942214,-148.25307,GSM4 (TKN0043),Yukon-Tanana Uplands,GSM4_SitePano.jpg,Panoramic site photo of GSM4 (TKN0043).,9/14/2014,Shalane Frost,GSM4,TKN0043,http://ltergis.iab.uaf.edu/rsn/pano/GSM4_SitePano.jpg,Mature,Pre 1930,
GSM5,9,326,431,Black Spruce,0,SUBXERIC,NA,0,0,47272.73,2016.67,4.1,"This is a subxeric, black spruce site.","At MP 3.5 Elliott Highway, turn west (left) onto Old Murphy Dome road. Continue 0.3 miles. Site is 255m NW.","This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"". Some mature sites in the RSN, including this one, were purposefully collocated with a site network originally established by Teresa Hollingsworth.",Murphy Dome,64.998563,-147.65685,GSM5 (TKN0024),Yukon-Tanana Uplands,GSM5_SitePano.jpg,Panoramic site photo of GSM5 (TKN0024).,9/14/2014,Shalane Frost,GSM5,TKN0024,http://ltergis.iab.uaf.edu/rsn/pano/GSM5_SitePano.jpg,Mature,Pre 1930,
MDM1,3,84,197,Black Spruce,0,MESIC,NA,0,0,77590.91,7991.67,13.93,"This mature black spruce stand is located adjacent to the other Murphy Dome ""MD"" sites, in an area that did not burn in the 1958 Murphy Dome fire.","Park at bridge on Cache Creek Road, mile 11.1. Continue on foot or ATV across bridge and along road 2km. Site is 150m east of road.","This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"".",Murphy Dome,64.871571,-148.37117,MDM1 (MD-3),Yukon-Tanana Uplands,MDM1_Site.jpg,Site photo of MDM1 (MD-3).,6/29/2013,Shalane Frost,MDM1,MD-3,http://ltergis.iab.uaf.edu/rsn/pano/MDM1_Site.jpg,Mature,Pre 1930,
NRM1,3,60,197,Black Spruce,0,MESIC-SUBHYGRIC,NA,0,0,44772.73,5008.33,6.25,This is a lowland black spruce site.,This site can be accessed via Nenana Ridge Road. Drive approximately 15 miles. Hike 1.7km from road down slope to site.,"This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"".",Nenana Ridge,64.60724,-148.82573,NRM1 (Nenana Ridge Bottom),Yukon-Tanana Uplands,NRM1_SitePano.jpg,Panoramic site photo of NRM1 (Nenana Ridge Bottom).,9/10/2014,Shalane Frost,NRM1,Nenana Ridge Bottom,http://ltergis.iab.uaf.edu/rsn/pano/NRM1_SitePano.jpg,Mature,Pre 1930,
NRM2,0,0,220,Black Spruce,0,SUBHYGRIC,NA,0,0,32863.64,983.33,1.33,"This is a mesic-subhygric, black spruce site.","Nenana Ridge Road, mile 3. Site is 140m east of road.","This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"".",Nenana Ridge,64.68328,-148.55992,NRM2 (Nenana Ridge),Yukon-Tanana Uplands,NRM2_SitePano.jpg,Panoramic site photo of NRM2 (Nenana Ridge).,9/10/2014,Shalane Frost,NRM2,Nenana Ridge,http://ltergis.iab.uaf.edu/rsn/pano/NRM2_SitePano.jpg,Mature,Pre 1930,
TRM1,5,54,270,Black Spruce,0,SUBXERIC-MESIC,NA,0,0,25681.82,3041.67,3.11,"This is a subxeric-mesic, black spruce site.",Elliott Highway MP 35.1. Site is 140m west of road.,"This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"". Some mature sites in the RSN, including this one, were purposefully collocated with a site network originally established by Teresa Hollingsworth.",Elliott Highway before turnoff to Manley Hotsprings,65.25333,-148.13914,TRM1 (TKN0139),Yukon-Tanana Uplands,TRM1_SitePano.jpg,Panoramic site photo of TRM1 (TKN0139).,9/19/2015,Shalane Frost,TRM1,TKN0139,http://ltergis.iab.uaf.edu/rsn/pano/TRM1_SitePano.jpg,Mature,Pre 1930,
TRM2,0,0,134,Black Spruce,0,SUBHYGRIC,NA,0,0,0,33.33,0.04,"This is a subhygric, black spruce site.",Site can be accessed via ATV by parking at the Tatalina River bridge (MP 44.8 Elliott Highway). Ride to the pipeline access road at MP 44.9 and follow it west 0.6 miles to pipeline. Ride SE toward Tatalina River. Cross River and continue  south on trail,"This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"".",Tatalina River,65.31219,-148.338,TRM2 (Tatalina River 1),Yukon-Tanana Uplands,TRM2_Site.jpg,Site photo of TRM2 (Tatalina River 1).,9/10/2013,Shalane Frost,TRM2,Tatalina River 1,http://ltergis.iab.uaf.edu/rsn/pano/TRM2_Site.jpg,Mature,Pre 1930,
TRM4,0,0,485,Black Spruce,0,MESIC,NA,0,0,17136.36,4350,9.34,"This is a mesic, black spruce site.",Elliott Highway MP 51.9. Site is 150m west of road.,"This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"". Some mature sites in the RSN, including this one, were purposefully collocated with a site network originally established by Teresa Hollingsworth.",Elliott Highway before turnoff to Manley Hotsprings,65.40996,-148.23179,TRM4 (TKN0137),Ray Mountains,TRM4_Site.jpg,Site photo of TRM4 (TKN0137).,7/2/2013,Shalane Frost,TRM4,TKN0137,http://ltergis.iab.uaf.edu/rsn/pano/TRM4_Site.jpg,Mature,Pre 1930,
UP4B,30,315,401,Black Spruce,0,SUBXERIC,NA,0,0,9681.82,3150,17.12,"This is a subxeric-mesic, black spruce site.","UP4B is located on the north side of the Parks Highway at MP 339.5. Perpendicular to the highway, the site is 170m downslope.","This study site was established in 2004 as an LTER site. In 2013, this site was added to the Regional Site Network (RSN) with the age class designation of ""Mature"".",BCEF,64.771601,-148.27359,UP4B (BCEFM5),Yukon-Tanana Uplands,UP4B_SitePano.jpg,Panoramic site photo of UP4B (BCEFM5).,5/18/2015,Shalane Frost,UP4B,UP4B,http://ltergis.iab.uaf.edu/rsn/pano/UP4B_SitePano.jpg,Mature,Pre 1930,
UP4C,5,100,615,Black Spruce,0,SUBHYGRIC,NA,0,0,28181.82,958.33,1.16,"This is a subhygric, black spruce site.",UP4C is located about 200m north of the confluence of Caribou and Poker Creeks in CPCRW.,"This study site was established in 2004 as an LTER site. In 2013, this site was added to the Regional Site Network (RSN) with the age class designation of ""Mature"".",CPCRW,65.153934,-147.491333,UP4C (CPCRWM1),Yukon-Tanana Uplands,UP4C_SitePano.jpg,Panoramic site photo of UP4C (CPCRWM1).,10/7/2014,Shalane Frost,UP4C,UP4C,http://ltergis.iab.uaf.edu/rsn/pano/UP4C_SitePano.jpg,Mature,Pre 1930,
UP4D,4,195,235,Black Spruce,0,SUBXERIC,NA,0,0,14363.64,5458.33,21.41,"This is a subxeric, black spruce site.","Traveling north from the confluence of Poker and Caribou Creeks, take a left at the ""T"" junction. From this point, the trail is only suitable for off-road vehicles. Immediately past the C4 bridge, the Helmer's Ridge trail branches off to the right(NE). F","This study site was established in 2004 as an LTER site. In 2013, this site was added to the Regional Site Network (RSN) with the age class designation of ""Mature"".",CPCRW,65.169054,-147.550557,UP4D (CPCRWM2),Yukon-Tanana Uplands,UP4D_SitePano.jpg,Panoramic site photo of UP4D (CPCRWM2).,5/21/2015,Shalane Frost,UP4D,UP4D,http://ltergis.iab.uaf.edu/rsn/pano/UP4D_SitePano.jpg,Mature,Pre 1930,
WCM3,0,0,274,Black Spruce,0,SUBHYGRIC,NA,0,0,43409.09,2366.67,6.66,"This is a mesic-subhygric, black spruce site.",Elliott Highway MP 18.7. Site is 150m east of road.,"This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"". Some mature sites in the RSN, including this one, were purposefully collocated with a site network originally established by Teresa Hollingsworth.",Washington Creek,65.15466,-147.86305,WCM3 (TKN0015),Yukon-Tanana Uplands,WCM3_Site.jpg,Site photo of WCM3 (TKN0015).,7/2/2013,Shalane Frost,WCM3,TKN0015,http://ltergis.iab.uaf.edu/rsn/pano/WCM3_Site.jpg,Mature,Pre 1930,
WCM4,1,164,584,Black Spruce,0,SUBXERIC,NA,0,0,28090.91,9608.33,21.58,"This is a subxeric, black spruce site.",Park in pullout at MP 20 Elliott highway. Continue back south on the highway via ATV 0.4 miles to a trail branching north. Continue on this trail 0.9 miles. Site is 50m to east.,"This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"". Some mature sites in the RSN, including this one, were purposefully collocated with a site network originally established by Teresa Hollingsworth.",Washington Creek,65.167267,-147.89408,WCM4 (TKN0012),Yukon-Tanana Uplands,WCM4_Site.jpg,Site photo of WCM4 (TKN0012).,8/12/2013,Shalane Frost,WCM4,TKN0012,http://ltergis.iab.uaf.edu/rsn/pano/WCM4_Site.jpg,Mature,Pre 1930,
BFY1,4,55,500,Hardwood,0,SUBXERIC,2,0,0,33.33,0.02,37272.73,In 2004 this site burned in the Boundary fire.,This site is located on the Poker Flat Rocket Range (restricted access). Follow the main road 3.1 miles to its end at the top of the hill. Site is 230m NE.,"This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli",Poker Flat Rocket Range,65.119979,-147.429158,BFY1 (BF71),Yukon-Tanana Uplands,BFY1_SitePano.jpg,Panoramic site photo of BFY1 (BF71).,9/23/2014,Shalane Frost,BFY1,BF71,http://ltergis.iab.uaf.edu/rsn/pano/BFY1_SitePano.jpg,Young,2004,
BFY10,11,347,445,Mixed,0,SUBXERIC-MESIC,2,0,0,0,0,16045.45,In 2004 this site burned in the Boundary fire.,This site is located on the Poker Flat Rocket Range (restricted access). Follow the main road 2.6 miles toward its end at the top of the hill. Site is 140m north of the road.,"This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli",Poker Flat Rocket Range,65.118669,-147.449411,BFY10 (BF73),Yukon-Tanana Uplands,BFY10_SitePano.jpg,Panoramic site photo of BFY10 (BF73).,9/27/2014,Shalane Frost,BFY10,BF73,http://ltergis.iab.uaf.edu/rsn/pano/BFY10_SitePano.jpg,Young,2004,
BFY11,13,280,260,Birch,0,SUBXERIC,3,0,0,1516.67,0.99,162545.45,"In 2004 this site burned in the Boundary fire. In its last inventory (2014), the site was dominated by sapling birch.","Follow road into CPCRW (MP 31 Steese Hwy) for 1.4 miles. Site is on the east side of the road, 110m up-slope.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli",CPCRW,65.148476,-147.471686,BFY11 (BF82),Yukon-Tanana Uplands,BFY11_SitePano.jpg,Panoramic site photo of BFY11 (BF82).,9/25/2014,Shalane Frost,BFY11,BF82,http://ltergis.iab.uaf.edu/rsn/pano/BFY11_SitePano.jpg,Young,2004,
BFY12,15,260,260,Birch,0,SUBXERIC,2,0,0,583.33,0.36,166681.82,"In 2004 this site burned in the Boundary fire. In its last inventory (2014), the site was dominated by sapling birch.","Follow road into CPCRW (MP 31 Steese Hwy) for 1.3 miles. Site is on the east side of the road, 100m up-slope.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli",CPCRW,65.147741,-147.470284,BFY12 (BF83),Yukon-Tanana Uplands,BFY12_SitePano.jpg,Panoramic site photo of BFY12 (BF83).,9/26/2014,Shalane Frost,BFY12,BF83,http://ltergis.iab.uaf.edu/rsn/pano/BFY12_SitePano.jpg,Young,2004,
BFY13,12,170,280,Birch,0,SUBXERIC-MESIC,3,0,0,525,0.32,225409.09,"In 2004 this site burned in the Boundary fire. In its last inventory (2014), the site was dominated by sapling birch.","Follow road into CPCRW (MP 31 Steese Hwy) for 0.8 miles. Site is on the east side of the road, 200m up-slope.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"".",CPCRW,65.143817,-147.460553,BFY13 (BF99),Yukon-Tanana Uplands,BFY13_SitePano.jpg,Panoramic site photo of BFY13 (BF99).,9/27/2014,Shalane Frost,BFY13,BF99,http://ltergis.iab.uaf.edu/rsn/pano/BFY13_SitePano.jpg,Young,2004,
BFY4,9,272,260,Birch,0,SUBXERIC-MESIC,3,0,0,5491.67,3.97,155363.64,"In 2004 this site burned in the Boundary fire. In its last inventory (2014), the site was dominated by sapling birch.","Follow road into CPCRW (MP 31 Steese Hwy) for 1.5 miles. Site is on the east side of the road, approximately 150m up-slope.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli",CPCRW,65.14981,-147.47274,BFY4 (BF81),Yukon-Tanana Uplands,BFY4_SitePano.jpg,Panoramic site photo of BFY4 (BF81).,9/28/2014,Shalane Frost,BFY4,BF81,http://ltergis.iab.uaf.edu/rsn/pano/BFY4_SitePano.jpg,Young,2004,
BFY6,6,267,205,Birch,0,MESIC,2,0,0,25,0.01,136045.45,"In 2004 this site burned in the Boundary fire. In its last inventory (2014), the site was dominated by sapling birch.","This site is located on the Poker Flat Rocket Range (restricted access). It can be accessed from mile 30.3 of the Steese Highway, south side.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli",Poker Flat Rocket Range,65.130069,-147.477168,BFY6 (BF77),Yukon-Tanana Uplands,BFY6_SitePano.jpg,Panoramic site photo of BFY6 (BF77).,9/29/2014,Shalane Frost,BFY6,BF77,http://ltergis.iab.uaf.edu/rsn/pano/BFY6_SitePano.jpg,Young,2004,
BFY7,4,258,240,Black Spruce,0,MESIC-SUBHYGRIC,1,0,0,41.67,0.04,73818.18,In 2004 this site burned in the Boundary fire.,"Follow road into CPCRW (MP 31 Steese Hwy) for 1.7 miles. Site is on the east side of the road, approximately 150m from the sharp corner.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli",CPCRW,65.153652,-147.47723,BFY7 (BF84),Yukon-Tanana Uplands,BFY7_SitePano.jpg,Panoramic site photo of BFY7 (BF84).,9/26/2014,Shalane Frost,BFY7,BF84,http://ltergis.iab.uaf.edu/rsn/pano/BFY7_SitePano.jpg,Young,2004,
BFY8,1,185,695,Black Spruce,0,MESIC,1,0,0,0,0,1181.82,In 2004 this site burned in the Boundary fire.,"Mile 1.5 of Nome Creek Road. Site is approximately 100m south of road. Note that while this site is accessible with a highway vehicle during the summer, snowmachines are needed for winter access.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli",Nome Creek,65.349339,-146.667829,BFY8 (BF61),Yukon-Tanana Uplands,BFY8_SitePano.jpg,Panoramic site photo of BFY8 (BF61).,9/24/2014,Shalane Frost,BFY8,BF61,http://ltergis.iab.uaf.edu/rsn/pano/BFY8_SitePano.jpg,Young,2004,
BFY9,10,170,770,Black Spruce,0,SUBXERIC-MESIC,1,0,0,183.33,0.5,90.91,In 2004 this site burned in the Boundary fire. It is currently a black spruce stand. Many relic trees exist.,"Mile 1.3 of Nome Creek Road. Site is approximately 400m north of road. Note that while this site is accessible with a highway vehicle during the summer, snowmachines are needed for winter access.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli",Nome Creek,65.353058,-146.675377,BFY9 (BF63),Yukon-Tanana Uplands,BFY9_SitePano.jpg,Panoramic site photo of BFY9 (BF63).,9/24/2014,Shalane Frost,BFY9,BF63,http://ltergis.iab.uaf.edu/rsn/pano/BFY9_SitePano.jpg,Young,2004,
DCY1,2,215,135,Black Spruce,0,SUBXERIC-MESIC,1,0,0,0,0,54590.91,In 2004 this site burned in the Dall City fire.,"MP 59 Dalton Highway, east side of road.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, near Yukon River",65.910596,-149.77952,DCY1 (DC54),Ray Mountains,DCY1_SitePano.jpg,Panoramic site photo of DCY1 (DC54).,9/2/2014,Shalane Frost,DCY1,DC54,http://ltergis.iab.uaf.edu/rsn/pano/DCY1_SitePano.jpg,Young,2004,
DCY10,3,75,390,Birch,0,MESIC,3,0,0,0,0,73318.18,In 2004 this site burned in the Dall City fire.,"MP 85.8 Dalton Highway,150m west of road.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, between Yukon River and Coldfoot",66.207444,-150.236443,DCY10 (DC37),Ray Mountains,DCY10_SitePano.jpg,Panoramic site photo of DCY10 (DC37).,7/29/2014,Shalane Frost,DCY10,DC37,http://ltergis.iab.uaf.edu/rsn/pano/DCY10_SitePano.jpg,Young,2004,
DCY12,4,355,520,Black Spruce,0,SUBXERIC-MESIC,1,0,0,133.33,0.22,4000,In 2004 this site burned in the Dall City fire.,"MP 90.7 Dalton Highway, 300m east of road. Parking at pipeline access, MP 90.7.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, between Yukon River and Coldfoot",66.265542,-150.333539,DCY12 (DC33),Ray Mountains,DCY12_SitePano.jpg,Panoramic site photo of DCY12 (DC33).,8/17/2014,Shalane Frost,DCY12,DC33,http://ltergis.iab.uaf.edu/rsn/pano/DCY12_SitePano.jpg,Young,2004,
DCY13,0,0,270,Mixed,0,MESIC-SUBHYGRIC,1,0,0,0,0,65000,In 2004 this site burned in the Dall City fire.,"MP 81.9 Dalton Highway,  approximately 150m east of road.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, between Yukon River and Coldfoot",66.15537,-150.184437,DCY13 (DC41),Ray Mountains,DCY13_SitePano.jpg,Panoramic site photo of DCY13 (DC41).,8/19/2014,Shalane Frost,DCY13,DC41,http://ltergis.iab.uaf.edu/rsn/pano/DCY13_SitePano.jpg,Young,2004,
DCY14,0,0,170,Black Spruce,0,SUBHYGRIC,1,0,0,0,0,20318.18,In 2004 this site burned in the Dall City fire,"MP 79.4 Dalton Highway,  approximately 150m east of road. Parking at No Name Creek, MP 79.1.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, between Yukon River and Coldfoot",66.120336,-150.1632,DCY14 (DC47),Ray Mountains,DCY14_SitePano.jpg,Panoramic site photo of DCY14 (DC47).,8/28/2014,Shalane Frost,DCY14,DC47,http://ltergis.iab.uaf.edu/rsn/pano/DCY14_SitePano.jpg,Young,2004,
DCY15,1,104,215,Aspen,0,SUBXERIC-MESIC,3,0,0,416.67,0.28,35590.91,In 2004 this site burned in the Dall City fire.,"MP 78.5 Dalton Highway, approximately 150m east of road. Parking at sandy pullout, on opposite side of road.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, between Yukon River and Coldfoot",66.109119,-150.155465,DCY15 (DC48),Ray Mountains,DCY15_SitePano.jpg,Panoramic site photo of DCY15 (DC48).,8/29/2014,Shalane Frost,DCY15,DC48,http://ltergis.iab.uaf.edu/rsn/pano/DCY15_SitePano.jpg,Young,2004,
DCY16,4,210,220,Aspen,0,XERIC,3,0,0,216.67,0.19,15590.91,In 2004 this site burned in the Dall City fire.,"MP 75.4 Dalton Highway, approximately 150m west of road.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, between Yukon River and Coldfoot",66.073353,-150.168267,DCY16 (DC52),Ray Mountains,DCY16_SitePano.jpg,Panoramic site photo of DCY16 (DC52).,8/30/2014,Shalane Frost,DCY16,DC52,http://ltergis.iab.uaf.edu/rsn/pano/DCY16_SitePano.jpg,Young,2004,
DCY17,5,186,150,Aspen,0,SUBXERIC-MESIC,2,0,0,2383.33,1.64,64727.27,In 2004 this site burned in the Dall City fire.,"MP 57.7 Dalton Highway, approximately 150m east of road.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, near Yukon River",65.896067,-149.752832,DCY17 (DC55),Ray Mountains,DCY17_SitePano.jpg,Panoramic site photo of DCY17 (DC55).,8/31/2014,Shalane Frost,DCY17,DC55,http://ltergis.iab.uaf.edu/rsn/pano/DCY17_SitePano.jpg,Young,2004,
DCY2,5,85,445,Mixed,0,MESIC-SUBHYGRIC,1,0,0,25,0.05,19909.09,In 2004 this site burned in the Dall City fire.,"MP 86.5 Dalton Highway. Turn west onto gravel pit access road, continue 250m. Site is 146m perpendicular to gravel pit access road, on north side.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, between Yukon River and Coldfoot",66.215182,-150.257716,DCY2 (DC36),Ray Mountains,DCY2_SitePano.jpg,Panoramic site photo of DCY2 (DC36).,8/18/2014,Shalane Frost,DCY2,DC36,http://ltergis.iab.uaf.edu/rsn/pano/DCY2_SitePano.jpg,Young,2004,
DCY3,7,155,206,Mixed,0,SUBXERIC-MESIC,3,0,0,358.33,0.25,51090.91,In 2004 this site burned in the Dall City fire.,"MP 75.3 Dalton Highway, approximately 150m west of road.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, between Yukon River and Coldfoot",66.072254,-150.167891,DCY3 (DC53),Ray Mountains,DCY3_SitePano.jpg,Panoramic site photo of DCY3 (DC53).,8/30/2014,Shalane Frost,DCY3,DC53,http://ltergis.iab.uaf.edu/rsn/pano/DCY3_SitePano.jpg,Young,2004,
DCY4,2,15,220,Mixed,0,SUBHYGRIC,1,0,0,0,0,19636.36,In 2004 this site burned in the Dall City fire.,"MP 78.1 Dalton Highway, approximately 150m east of road.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, between Yukon River and Coldfoot",66.105262,-150.151326,DCY4 (DC49),Ray Mountains,DCY4_SitePano.jpg,Panoramic site photo of DCY4 (DC49).,8/29/2014,Shalane Frost,DCY4,DC49,http://ltergis.iab.uaf.edu/rsn/pano/DCY4_SitePano.jpg,Young,2004,
GSI2,3,333,129,Black Spruce,10,SUBXERIC-MESIC,NA,5.95,14.24,441.67,0.37,10363.64,In 1966 this site burned in the Goldstream fire. It is now an open black spruce stand.,Standard Creek Road mile 8.1. Site is 75m west of road.,"This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Goldstream,64.80255,-148.42039,GSI2 (GS-2),Yukon-Tanana Uplands,,,,,GSI2,GS-2,,Intermediate,1966,Flat
DCY5,0,0,220,Aspen,0,XERIC,3,0,0,525,0.36,56090.91,In 2004 this site burned in the Dall City fire.,"MP 78.6 Dalton Highway, approximately 150m east of road. Parking at sandy pullout, on opposite side of road.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, between Yukon River and Coldfoot",66.109679,-150.156852,DCY5 (DC46),Ray Mountains,DCY5_SitePano.jpg,Panoramic site photo of DCY5 (DC46).,8/28/2014,Shalane Frost,DCY5,DC46,http://ltergis.iab.uaf.edu/rsn/pano/DCY5_SitePano.jpg,Young,2004,
DCY6,0,0,250,Black Spruce,0,SUBXERIC-MESIC,2,0,0,0,0,114090.91,In 2004 this site burned in the Dall City fire.,"MP 80.7 Dalton Highway, approximately 150m east of road. Parking at pipeline access road, MP 80.6.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, between Yukon River and Coldfoot",66.140521,-150.170408,DCY6 (DC44),Ray Mountains,DCY6_SitePano.jpg,Panoramic site photo of DCY6 (DC44).,9/1/2014,Shalane Frost,DCY6,DC44,http://ltergis.iab.uaf.edu/rsn/pano/DCY6_SitePano.jpg,Young,2004,
DCY7,0,0,260,Mixed,0,SUBXERIC-MESIC,3,0,0,0,0,119681.82,In 2004 this site burned in the Dall City fire.,"MP 81.6 Dalton Highway, approximately 150m east of road.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, between Yukon River and Coldfoot",66.151718,-150.179563,DCY7 (DC42),Ray Mountains,DCY7_SitePano.jpg,Panoramic site photo of DCY7 (DC42).,7/28/2014,Shalane Frost,DCY7,DC42,http://ltergis.iab.uaf.edu/rsn/pano/DCY7_SitePano.jpg,Young,2004,
DCY8,0,0,280,Aspen,0,MESIC,3,0,0,0,0,91000,In 2004 this site burned in the Dall City fire.,"MP 82.6 Dalton Highway, approximately 150m west of road.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, between Yukon River and Coldfoot",66.163658,-150.203584,DCY8 (DC40),Ray Mountains,DCY8_SitePano.jpg,Panoramic site photo of DCY8 (DC40).,7/28/2014,Shalane Frost,DCY8,DC40,http://ltergis.iab.uaf.edu/rsn/pano/DCY8_SitePano.jpg,Young,2004,
